uuid,lat,lng
e0e5e6b8-58c5-444a-8943-8fa91a623541,41.8969576,-87.6276921
c313b281-dff5-4a3d-b7f0-b5be5ce929f1,41.9474366,-87.6569674
3fe3d00d-8715-40fa-a7cb-94324fab425f,41.933565,-87.66886
0a808ad4-103c-4035-812a-57b0fe002908,41.96571561,-87.65522533
f4aaf130-efaf-43c8-8bcc-75d31f6e3a07,41.8857494,-87.6619946
5287333a-d7a4-4662-8f60-210082bd7e9d,41.7702194,-87.7222386
361c29aa-f198-4244-9610-149be87ac60f,43.067984,-89.4044837
9cdc79e2-12d8-4401-bf6c-a5e8ed699063,41.788591,-87.7031788
a056ec2f-e517-4f77-b943-da8995a7b409,39.1348461,-84.5000408
d9cb0eaa-929c-4590-ba5a-c959b34789df,43.0603885,-87.8898056
f43bfe2c-931e-4aef-906f-bc9f19f8b42d,41.89558,-87.6775315
3ad13665-501d-47d3-912e-23902120f2de,41.80088,-87.5880886
4e13863e-8307-4673-a67b-a37cf638b329,42.041384,-87.7000916
bd107486-20d5-4f80-abd2-54acd981be95,41.930467,-87.7092791
ded6c38c-5fcf-49e2-9510-1a2a8820279e,41.7753824,-87.5868702
0ab7a54e-c50f-450e-ba03-4e162fb07267,41.995587,-87.6599389
ef051895-2526-4363-8293-584bc2108bab,41.8584658,-87.6609293
126bfd30-73ba-45f4-b823-271b5ff6cfd5,41.8233705,-87.6886117
53d283f0-36db-4de2-b2a0-e09e0a1133bc,41.850304,-87.7842093
9ace46c9-0c06-4bd1-8a40-50622c84059d,41.9097867,-87.708236
44a64e94-5dbc-46dd-aefe-fdf98c4d58aa,41.9171669,-87.6869366
f68412e3-9846-4723-898c-a73233ca4172,44.9802835,-93.2345932
1e106c42-4571-4259-8081-c75522369899,41.8443203,-87.7322863
72a3501d-4606-49ac-89ec-4e250dbf8ccd,41.8440795,-87.7047721
c727f57f-4d53-4ea4-ae14-35aa3b28859e,41.852327,-87.6874369
